EmployeeID,Age,Department,JobRole,MonthlyIncome,YearsAtCompany,DistanceFromHome,EducationLevel,BusinessTravel,OverTime,JobSatisfaction,WorkLifeBalance,PerformanceRating,NumCompaniesWorked,PromotionLast5Years,Attrition
EMP00667,42,HR,Intern,2200.0,1,8.0,2,Travel_Rarely,Yes,1.0,2,4,1,1,Yes
EMP01143,45,Marketing,Junior,4031.18,2,1.0,2,Travel_Frequently,No,1.0,4,2,3,1,No
EMP00144,50,R&D,Senior,6435.72,6,27.0,2,Travel_Rarely,No,3.0,2,3,5,0,Yes
EMP00473,30,Engineering,Manager,9354.83,1,17.0,3,Non-Travel,No,4.0,4,4,1,0,No
EMP00249,32,HR,Senior,5501.54,1,3.0,1,Travel_Rarely,Yes,3.0,1,1,3,0,Yes
EMP00046,32,Engineering,Junior,5368.74,8,7.0,4,Travel_Frequently,No,2.0,2,3,1,0,Yes
EMP00922,26,R&D,Manager,9126.72,1,1.0,3,Travel_Rarely,No,3.0,2,3,2,0,No
EMP00828,23,R&D,Senior,5901.21,3,2.0,3,Travel_Rarely,No,2.0,3,3,2,1,No
EMP01354,28,Engineering,Junior,4377.59,3,11.0,3,Travel_Frequently,Yes,1.0,1,3,1,0,Yes
EMP01102,24,Sales,Junior,5587.15,4,1.0,3,Travel_Rarely,Yes,2.0,1,3,2,0,Yes
EMP01130,33,Engineering,Junior,3590.4,5,3.0,2,Travel_Rarely,No,3.0,4,4,4,1,No
EMP01314,26,Sales,Intern,4082.16,1,2.0,4,Travel_Frequently,No,4.0,2,3,0,0,No
EMP00070,44,R&D,Junior,,7,1.0,3,Travel_Rarely,No,,3,3,2,0,Yes
EMP01038,20,Sales,Junior,4460.23,0,12.0,3,Travel_Rarely,No,3.0,2,2,3,0,Yes
EMP01367,23,R&D,Junior,4266.77,2,17.0,2,Travel_Rarely,Yes,2.0,2,3,2,1,No
EMP00817,30,Marketing,Intern,,2,,4,Travel_Rarely,Yes,,3,3,1,0,No
EMP00679,35,R&D,Manager,11494.49,11,1.0,2,Travel_Rarely,No,3.0,4,3,4,0,No
EMP00465,41,Engineering,Junior,6057.7,2,5.0,4,Travel_Rarely,Yes,4.0,2,2,3,0,Yes
EMP00231,25,Engineering,Manager,8874.36,0,5.0,3,Travel_Rarely,Yes,2.0,1,3,7,0,Yes
EMP00620,35,Engineering,Intern,5074.47,11,1.0,4,Travel_Rarely,No,4.0,3,4,2,1,No
EMP00342,45,R&D,Senior,8724.34,10,13.0,5,Travel_Rarely,No,2.0,3,3,2,0,No
EMP00543,20,Marketing,Manager,9474.86,0,1.0,4,Travel_Frequently,No,4.0,2,3,2,1,No
EMP00970,44,Sales,Senior,6681.31,1,5.0,3,Travel_Rarely,No,4.0,3,3,3,0,No
EMP00495,35,Engineering,Junior,3740.71,2,11.0,2,Travel_Rarely,No,4.0,2,4,2,0,Yes
EMP01253,37,Engineering,Junior,4279.96,2,6.0,2,Travel_Rarely,No,3.0,4,3,2,0,Yes
