,count,mean,std,min,25%,50%,75%,max
Age,1500.0,35.61,8.44,20.0,30.0,36.0,41.25,60.0
MonthlyIncome,1500.0,6986.75,2878.39,2200.0,4993.73,6579.34,8327.82,18305.36
YearsAtCompany,1500.0,3.78,3.52,0.0,1.0,3.0,5.0,33.0
DistanceFromHome,1500.0,7.57,7.57,1.0,2.0,5.0,10.25,40.0
EducationLevel,1500.0,3.18,1.06,1.0,2.0,3.0,4.0,5.0
JobSatisfaction,1500.0,2.82,0.88,1.0,2.0,3.0,3.0,4.0
WorkLifeBalance,1500.0,2.66,0.87,1.0,2.0,3.0,3.0,4.0
PerformanceRating,1500.0,3.0,0.75,1.0,3.0,3.0,3.0,4.0
NumCompaniesWorked,1500.0,2.12,1.5,0.0,1.0,2.0,3.0,8.0
PromotionLast5Years,1500.0,0.26,0.44,0.0,0.0,0.0,1.0,1.0
